InvestigationID,NoComplaintsReportedNHTSA,NoCrashesFiresReportedNHTSA,NoInjuryIncidentsReportedNHTSA,NoInjuriesReportedNHTSA,NoFatalityIncidentsReportedNHTSA,NoFatalitiesReportedNHTSA,NoOtherFailuresReportedNHTSA,NoComplaintsReportedMfr,NoCrashesFiresReportedMfr,NoInjuryIncidentsReportedMfr,NoInjuriesReportedMfr,NoFatalityIncidentsReportedMfr,NoFatalitiesReportedMfr,NoOtherFailuresReportedMfr,NoComplaintsReported,NoCrashesFiresReported,NoInjuryIncidentsReported,NoInjuriesReported,NoFatalityIncidentsReported,NoFatalitiesReported,NoOtherFailuresReported,Population,InvestigationType,PDSentiment,SummarySentiment,NoPDUptoQuarter,NoDIUptoQuarter,NoIIUptoQuarter,NoIDUptoQuarter,Data,OpenedYear,ClosedYear
PE11017,34,0,0,,0,,0,80,0,0,,0,,0,114,0,0,,0,,0,431000,Preliminary Evaluation,-.5106000000000001,-.8957000000000001,260,5,132,12925,,2011,2011
PE11018,1926,0,1,,0,,169,1412,0,0,,0,,10,4010,0,1,,0,,178,168720,Preliminary Evaluation,0,.6378,12070,12,180,36781,,2011,2013
PE11019,60,0,0,,0,,0,153,0,0,,0,,6270,213,0,0,,0,,6270,223033,Preliminary Evaluation,-.5106000000000001,-.7902,7263,1,79,19801,,2011,2011
PE11020,62,0,0,,0,,0,182,0,0,,0,,13581,237,0,0,,0,,13581,508221,Preliminary Evaluation,-.5859,-.9667,840,5,34,672,,2011,2012
PE11021,14,1,0,0,0,,0,111,4,1,1,0,,415,121,5,1,1,0,,415,64036,Preliminary Evaluation,-.5423,-.9942,2502,0,13,5692,,2011,2011
PE11022,25,1,0,,0,,0,23,1,0,,0,,99,48,2,0,,0,,99,4400,Preliminary Evaluation,-.34,-.93,0,0,0,0,,2011,2011
PE11023,23,0,0,,0,,0,96,0,0,,0,,434,106,0,0,,0,,434,168275,Preliminary Evaluation,-.34,-.6486,11,0,2,14,,2011,2011
PE11024,0,0,0,,0,,57,5,0,0,,0,,302,5,0,0,,0,,359,29807,Preliminary Evaluation,-.4019,-.9546,630,0,6,907,,2011,2011
PE11025,3,2,0,0,0,,,47,14,5,5,0,,,50,16,5,5,0,,,121708,Preliminary Evaluation,0,-.7506,0,0,0,0,,2011,2012
PE11026,3,0,0,,0,,0,245,0,0,,0,,0,248,0,0,,0,,0,36984,Preliminary Evaluation,-.9081,-.9902,31,0,3,11,,2011,2012
PE11027,1,0,0,,0,,0,1,0,0,,0,,0,2,0,0,,0,,0,120,Preliminary Evaluation,-.34,-.891,0,0,0,0,,2011,2012
PE11028,0,0,0,,0,,2,0,0,0,,0,,96,0,0,0,,0,,96,48388,Preliminary Evaluation,-.4588,-.9428,0,0,0,0,,2011,2011
PE11029,1,0,0,,0,,0,1,0,0,,0,,0,1,0,0,,0,,0,650,Preliminary Evaluation,-.2023,-.25,0,0,0,0,,2011,2012
PE11030,1,0,1,1,0,,0,1,0,0,0,0,,41,1,0,1,1,0,,41,21421,Preliminary Evaluation,-.5106000000000001,-.7632,0,0,0,0,,2011,2012
PE11031,1,0,0,,0,,6,0,0,0,,0,,0,1,0,0,,0,,6,3300,Preliminary Evaluation,-.3182,.2362,0,0,0,0,,2011,2012
PE11032,1,0,0,,0,,0,0,0,0,,0,,0,1,0,0,,0,,0,700,Preliminary Evaluation,-.1531,-.5475,0,0,0,0,,2011,2012
PE11033,6,0,3,3,1,1,0,26,0,5,5,1,1,140,32,0,7,7,1,1,140,205252,Preliminary Evaluation,-.4215,-.9792999999999999,5723,9,101,31152,,2011,2012
PE11034,13,0,3,3,0,,0,94,0,10,10,0,,5679,107,0,13,13,0,,5679,63927,Preliminary Evaluation,-.7819,-.9812,118,0,15,380,,2011,2012
PE11035,11,0,7,7,0,,0,76,0,42,43,0,,94,87,0,49,50,0,,94,386873,Preliminary Evaluation,0,-.9527,4097,15,258,86607,,2011,2012
PE11036,12,12,0,,0,,0,25,19,0,,0,,493,37,31,0,,0,,493,90368,Preliminary Evaluation,-.34,-.967,0,0,0,0,,2011,2012
PE11037,0,0,0,,0,,4,0,0,0,,0,,0,0,0,0,,0,,4,14735,Preliminary Evaluation,-.7579,-.977,1059,0,9,3523,,2011,2012
PE11038,43,0,0,,0,,0,285,0,0,,0,,2525,315,0,0,,0,,2525,8120,Preliminary Evaluation,-.743,-.9055,22,0,1,27,,2011,2012
PE11039,18,0,0,,0,,0,4,0,0,,0,,1,22,0,0,,0,,1,82343,Preliminary Evaluation,.6369,-.9516,4638,5,71,23784,,2011,2012
PE11040,12,0,0,,0,,0,27,0,0,,0,,76,39,0,0,,0,,76,10160,Preliminary Evaluation,-.5859,-.2565,5743,0,18,8823,,2011,2012
PE11041,1,0,1,1,0,,,2,0,1,1,0,,,2,0,1,1,0,,,2000,Preliminary Evaluation,-.4767,-.9545,0,0,0,0,,2012,2013
PE12001,136,0,0,,0,,,61,0,0,,0,,,197,0,0,,0,,,6964,Preliminary Evaluation,.2023,-.3818,0,0,0,0,,2012,2013
PE12002,32,32,1,1,0,,0,129,129,8,8,0,,49,161,161,9,9,0,,49,1424747,Preliminary Evaluation,-.34,-.1531,20455,58,1280,587330,,2012,2012
PE12003,83,11,0,,0,,0,167,21,0,,0,,698,242,28,0,,0,,677,341786,Preliminary Evaluation,0,-.9022,15552,9,249,107239,,2012,2012
PE12004,3,0,0,,0,,,0,0,0,,0,,,3,0,0,,0,,,463,Preliminary Evaluation,0,-.9814000000000001,0,0,0,0,,2012,2012
PE12005,194,0,0,,0,,0,70,0,0,,0,,177,259,0,0,,0,,177,546082,Preliminary Evaluation,-.128,-.9956,7405,6,156,41902,,2012,2012
PE12006,0,0,0,,0,,1,265,22,0,,0,,1,265,22,0,,0,,1,3500,Preliminary Evaluation,-.2023,-.9992,0,0,0,0,,2012,2012
PE12007,1,2,2,50,1,2,,3,1,1,0,0,0,,4,2,2,50,1,2,,806,Preliminary Evaluation,-.6808,-.6369,146,6,56,18,,2012,2012
PE12008,0,3,0,,0,,,0,3,0,,0,,,0,3,0,,0,,,263,Preliminary Evaluation,-.34,-.6705,0,0,0,0,,2012,2012
PE12009,4,4,0,,0,,1,11,11,0,,0,,4,12,12,0,,0,,4,65246,Preliminary Evaluation,-.5574,-.9905,0,0,0,0,,2012,2012
PE12010,2,2,0,,0,,2,25,25,0,,0,,4,25,25,0,,0,,4,413148,Preliminary Evaluation,-.5574,-.9681999999999999,2621,4,112,52358,,2012,2012
PE12011,2,0,0,,0,,0,3,1,0,,0,,470,5,1,0,,0,,470,24500,Preliminary Evaluation,-.4588,-.9735,0,0,0,0,,2012,2012
PE12012,1,0,1,1,0,,,0,0,0,0,0,,,1,0,1,1,0,,,75581,Preliminary Evaluation,0,-.3818,0,0,2,38,,2012,2012
PE12013,10,0,0,0,0,,0,123,9,3,3,0,,339,131,9,3,3,0,,339,762489,Preliminary Evaluation,-.7003,-.9897,7195,2,150,56860,,2012,2012
PE12014,1,2,0,,0,,0,1,2,0,,0,,14,1,2,0,,0,,14,302,Preliminary Evaluation,-.2263,-.7845,0,0,0,0,,2012,2012
PE12016,25,0,0,,0,,0,146,0,0,,0,,88,161,0,0,,0,,88,46387,Preliminary Evaluation,-.5859,-.9908,784,1,16,3431,,2012,2012
PE12017,352,3,1,1,0,,0,750,15,0,0,0,,4059,969,15,1,1,0,,4059,179027,Preliminary Evaluation,-.34,-.9946,2866,0,94,14379,,2012,2014
PE12018,0,0,0,,0,,0,8,0,0,,0,,134,8,0,0,,0,,134,1663,Preliminary Evaluation,-.7184,-.6627999999999999,277,1,14,97,,2012,2012
PE12019,11,3,0,0,1,1,0,10,3,2,2,2,2,23,21,6,2,2,3,3,23,730000,Preliminary Evaluation,-.4404,-.8807,15390,29,441,130546,,2012,2013
PE12020,2,0,0,,0,,,24,0,0,,0,,,24,0,0,,0,,,147346,Preliminary Evaluation,-.6908,-.9712,221,0,2,466,,2012,2012
PE12021,46,1,0,,0,,,371,9,0,,0,,,403,9,0,,0,,,230098,Preliminary Evaluation,-.7269,-.9287,0,0,0,0,,2012,2013
PE12022,2,0,0,,0,,,2,0,0,,0,,,2,0,0,,0,,,13906,Preliminary Evaluation,.4588,.4464,0,0,0,0,,2012,2012
PE12023,0,0,0,,0,,0,13,0,0,,0,,39,13,0,0,,0,,39,35129,Preliminary Evaluation,-.34,-.9887,0,0,0,0,,2012,2013
PE12024,1,1,0,,0,,,1,1,0,,0,,,1,1,0,,0,,,36,Preliminary Evaluation,-.6124000000000001,-.9077,0,0,0,0,,2012,2012
PE12025,5,0,0,,0,,0,2,0,0,,0,,9,6,0,0,,0,,9,195000,Preliminary Evaluation,-.3182,-.9814000000000001,5384,7,52,12970,,2012,2013
PE12026,79,27,1,1,0,,,113,23,2,2,0,,,176,48,3,3,0,,,576117,Preliminary Evaluation,-.5423,-.9584,387,7,167,12735,,2012,2013
PE12027,26,0,4,5,0,,0,23,0,5,6,0,,46,34,0,8,10,0,,46,19600,Preliminary Evaluation,0,-.9737,0,0,2,40,,2012,2013
PE12028,48,0,0,,0,,22,86,0,0,,0,,18,205,0,0,,0,,24,87803,Preliminary Evaluation,-.296,-.992,55,3,9,810,,2012,2013
PE12029,1,0,0,,0,,0,3,0,0,,0,,4,3,0,0,,0,,4,70000,Preliminary Evaluation,-.3182,-.9917,9,0,2,55,,2012,2013
PE12030,3,0,0,,0,,,20,4,0,,0,,,20,4,0,,0,,,201823,Preliminary Evaluation,-.7717000000000001,-.9991,0,0,0,0,,2012,2013
PE12031,80,0,0,,0,,,,0,0,,0,,,,0,0,,0,,,,Preliminary Evaluation,-.3818,-.4588,0,0,0,0,,2012,2013
PE12032,17,0,0,,0,,6,51,0,0,,0,,13,64,0,0,,0,,18,114998,Preliminary Evaluation,-.8957000000000001,-.9145,0,0,0,0,,2012,2013
PE12033,91,3,0,,0,,0,24,2,0,,0,,11,100,5,0,,0,,11,467719,Preliminary Evaluation,-.25,-.9942,18533,55,688,268621,,2012,2013
PE12034,11,0,0,,0,,4,11,0,0,,0,,,11,0,0,,0,,,8800,Preliminary Evaluation,-.5574,.4019,0,0,1,1,,2012,2013
PE12035,62,0,0,,0,,1,163,1,0,,0,,1,225,1,0,,0,,2,2272,Preliminary Evaluation,-.6249,-.8253,3,0,2,26,,2012,2013
PE12036,80,0,0,,0,,,15,0,0,,0,,,95,0,0,,0,,,23115,Preliminary Evaluation,-.34,-.9858,0,0,0,0,,2012,2013
PE12037,1,0,0,,0,,,0,0,0,,0,,,1,0,0,,0,,,8,Preliminary Evaluation,-.1531,-.9664,0,0,0,0,,2012,2013
PE13001,0,0,0,,0,,,0,0,0,,0,,,0,0,0,,0,,,,Preliminary Evaluation,-.5106000000000001,-.9530999999999999,40,0,0,0,,2013,2013
PE13002,0,0,0,,0,,0,134,0,0,,0,,164,134,0,0,,0,,164,23003,Preliminary Evaluation,-.802,-.9817,0,0,0,0,,2013,2013
PE13003,1147,0,0,,0,,4,10999,0,1,,0,,8,11960,0,1,,0,,11,1593452,Preliminary Evaluation,-.5106000000000001,-.9977,13914,8,333,53752,,2013,2014
PE13004,1,0,0,,0,,,0,0,0,,0,,,1,0,0,,0,,,52,Preliminary Evaluation,.2023,-.521,0,0,0,0,,2013,2013
PE13005,0,0,0,,0,,0,0,0,0,,0,,1910,0,0,0,,0,,1910,27993,Preliminary Evaluation,-.765,-.9889,0,0,0,0,,2013,2013
PE13006,0,0,0,,0,,6,15,0,0,,0,,,15,0,0,,0,,,183,Preliminary Evaluation,-.5266999999999999,-.9186,0,0,0,0,,2013,2013
PE13007,13,0,0,,0,,0,7,0,0,,0,,8,19,0,0,,0,,8,239000,Preliminary Evaluation,-.3818,-.8462,236,5,105,2663,,2013,2013
PE13008,0,0,0,,0,,0,1,1,0,,0,,1,1,1,0,,0,,1,3012,Preliminary Evaluation,-.7003,-.9612000000000001,0,0,0,0,,2013,2013
PE13009,57,0,0,,0,,0,9,0,0,,0,,336,63,0,0,,0,,336,24635,Preliminary Evaluation,-.8176,-.999,88,1,7,13,,2013,2014
PE13010,4,3,1,1,0,,,8,7,1,1,0,,,10,8,1,1,0,,,9670,Preliminary Evaluation,-.6808,-.996,1888,0,9,2319,,2013,2013
PE13011,1,0,0,,0,,,1,0,0,,0,,,1,0,0,,0,,,686,Preliminary Evaluation,-.25,-.7351,0,0,0,0,,2013,2013
PE13012,0,0,0,,0,,0,45,15,0,,0,,149,45,15,0,,0,,149,48800,Preliminary Evaluation,-.5859,-.9974,0,0,0,0,,2013,2013
PE13013,65,0,0,,0,,0,37,0,0,,0,,108,95,0,0,,0,,108,103107,Preliminary Evaluation,-.5266999999999999,-.9583,14059,2,47,23431,,2013,2013
PE13014,6,2,0,,0,,0,19,4,0,,0,,149,24,6,0,,0,,149,336667,Preliminary Evaluation,-.7717000000000001,-.9963,5996,14,96,18097,,2013,2014
PE13015,9,0,0,,0,,0,56,0,0,,0,,329,64,0,0,,0,,329,39425,Preliminary Evaluation,-.8074,-.9757,26,1,4,37,,2013,2013
PE13016,70,0,0,,0,,,231,0,0,,0,,,299,0,0,,0,,,153817,Preliminary Evaluation,-.8625,-.9828,4357,6,104,31444,,2013,2014
PE13017,1,0,0,5,0,,0,1,0,0,1,0,,2,1,0,0,5,0,,2,156,Preliminary Evaluation,-.4588,-.9744,0,0,0,0,,2013,2013
PE13018,525,0,0,,0,,0,3731,0,0,,0,,18978,4120,0,0,,0,,18978,359771,Preliminary Evaluation,-.3612,-.8652,3097,5,108,17927,,2013,2014
PE13019,0,0,0,,0,,0,28,0,0,,0,,164,28,0,0,,0,,164,566,Preliminary Evaluation,-.5859,-.9595,0,0,0,0,,2013,2014
PE13020,5,0,2,2,0,,,27,0,10,10,0,,,28,0,9,9,0,,,374700,Preliminary Evaluation,0,-.9858,184,4,106,7687,,2013,2014
PE13021,140,0,0,,0,,0,2011,0,0,,0,,14502,2103,0,0,,0,,14502,205552,Preliminary Evaluation,-.6369,.0258,1,4,18,70,,2013,2013
PE13022,1,0,0,,0,,,0,0,0,,0,,,1,0,0,,0,,,255,Preliminary Evaluation,-.34,-.7978,0,0,0,0,,2013,2013
PE13023,56,0,0,,0,,1,0,0,0,,0,,0,56,0,0,,0,,1,11097,Preliminary Evaluation,0,-.4767,0,0,0,0,,2013,2013
PE13024,54,0,0,,0,,0,179,0,0,,0,,109,196,0,0,,0,,109,344187,Preliminary Evaluation,-.7579,-.6705,228,2,19,639,,2013,2013
PE13025,4,0,0,,0,,0,,0,0,,0,,60,,0,0,,0,,60,30000,Preliminary Evaluation,-.7506,-.979,11,0,0,0,,2013,2013
PE13026,114,3,1,1,0,,0,291,2,0,0,0,,23534,402,5,1,1,0,,23534,218000,Preliminary Evaluation,-.5719,-.9601,1,3,30,498,,2013,2013
PE13027,5,5,0,0,0,,0,40,37,3,3,0,,37,41,38,3,3,0,,37,593299,Preliminary Evaluation,-.34,-.9530999999999999,1973,0,37,7387,,2013,2014
PE13028,0,0,0,,0,,,28,0,0,,0,,,28,0,0,,0,,,452,Preliminary Evaluation,0,-.8834,0,0,0,0,,2013,2014
PE13029,16,0,0,,0,,0,197,0,0,,0,,0,213,0,0,,0,,429,123539,Preliminary Evaluation,-.3182,-.9819,212,0,12,139,,2013,2014
PE13030,4,0,0,,0,,0,84,0,0,,0,,105,84,0,0,,0,,105,76191,Preliminary Evaluation,-.3818,-.9169,0,0,0,0,,2013,2013
PE13031,31,0,0,,0,,0,158,1,0,,0,,42,171,1,0,,0,,42,2456,Preliminary Evaluation,-.5994,-.9709,0,0,0,0,,2013,2013
PE13032,0,0,0,,0,,,36,0,0,,0,,,36,0,0,,0,,,1622,Preliminary Evaluation,-.5859,-.9963,0,0,0,0,,2013,2014
PE13033,64,3,0,0,0,,0,730,4,1,1,0,,1717,769,5,1,1,0,,1717,75753,Preliminary Evaluation,0,-.9602000000000001,108,1,21,427,,2013,2014
PE13034,1,1,1,1,0,,2,1,1,1,1,0,,263,1,1,1,1,0,,265,104593,Preliminary Evaluation,-.6908,-.9882,421,0,12,2657,,2013,2014
PE13035,26,0,4,6,0,,0,123,0,14,16,0,,101,95,0,14,18,0,,86,65347,Preliminary Evaluation,0,-.9916,282,0,57,822,,2013,2014
PE13036,54,0,0,,0,,0,400,0,0,,0,,4647,454,0,0,,0,,4647,62155,Preliminary Evaluation,-.3182,-.631,19,1,2,36,,2013,2014
PE13037,0,0,0,,0,,0,2,2,0,,0,,29,2,2,0,,0,,29,15805,Preliminary Evaluation,-.34,-.9666,1,1,0,1,,2013,2014
PE13038,1,0,0,,0,,,1,0,0,,0,,,1,0,0,,0,,,18,Preliminary Evaluation,-.3818,.749,102,0,2,9,,2013,2014
PE13039,0,0,0,,0,,0,0,0,0,,0,,1,0,0,0,,0,,1,2098,Preliminary Evaluation,-.5423,-.0772,0,0,0,0,,2013,2014
PE14001,72,1,1,2,0,,0,685,0,0,0,0,,864,734,1,1,2,0,,864,100491,Preliminary Evaluation,0,-.9999,0,0,0,0,,2014,2014
PE14002,1,0,0,,0,,,0,0,0,,0,,,1,0,0,,0,,,100,Preliminary Evaluation,0,-.9747,0,0,0,0,,2014,2014
PE14003,39,0,0,0,0,0,,,,,,,,,,,,,,,,,Preliminary Evaluation,-.6124000000000001,.6597,0,0,0,0,,2014,2014
PE14004,37,0,5,5,0,,0,237,0,9,9,0,,133,274,0,14,14,0,,133,335195,Preliminary Evaluation,0,-.8481,41,1,27,2052,,2014,2014
PE14005,24,0,0,,0,,0,84,0,0,,0,,288,102,0,0,,0,,288,62319,Preliminary Evaluation,.1779,-.9832,75,0,3,29,,2014,2014
PE14006,13,0,0,,0,,,22,0,0,,0,,,35,0,0,,0,,,7337,Preliminary Evaluation,0,.9623,0,1,5,5,,2014,2015
PE14007,1,0,0,,0,,1,1,0,0,,0,,0,1,0,0,,0,,1,80,Preliminary Evaluation,-.3182,-.7506,0,0,0,0,,2014,2014
PE14008,10,1,0,,0,,,18,1,0,,0,,,18,1,0,,0,,,1297,Preliminary Evaluation,.5266999999999999,-.9266,0,0,0,0,,2014,2014
PE14009,0,0,0,,0,,2,0,0,0,,0,,1,0,0,0,,0,,3,105,Preliminary Evaluation,-.8591,-.9939,0,0,0,0,,2014,2014
PE14010,0,0,0,,0,,1,0,0,0,,0,,1,0,0,0,,0,,2,105765,Preliminary Evaluation,0,-.8743,735,0,21,28599,,2014,2014
PE14011,2,0,1,1,0,,,17,0,0,0,0,,,19,0,1,1,0,,,400,Preliminary Evaluation,0,-.8622,0,0,0,0,,2014,2014
PE14012,45,0,0,,0,,0,111,0,0,,0,,89,136,0,0,,0,,89,37668,Preliminary Evaluation,-.7579,-.9478,282,0,6,163,,2014,2015
PE14013,6,0,0,,1,1,0,9,3,0,,1,1,16,14,3,0,,1,1,16,109861,Preliminary Evaluation,.2263,-.9931,1,2,3,11,,2014,2014
PE14014,19,1,0,,0,,0,275,1,0,,0,,701,294,2,0,,0,,701,605963,Preliminary Evaluation,-.4767,-.9976,226,0,10,162,,2014,2015
PE14016,5,0,5,5,0,,,9,0,9,9,0,,,14,0,14,14,0,,,11500000,Preliminary Evaluation,0,-.8934,100494,251,4250,743090,,2014,2015
PE14018,11,1,1,1,0,,,18,0,0,0,0,,,24,1,1,1,0,,,360000,Preliminary Evaluation,-.4215,-.5336,0,1,5,65,,2014,2015
PE14019,42,1,1,1,0,,0,51,0,0,0,0,,219,81,1,1,1,0,,219,256956,Preliminary Evaluation,-.5574,-.9726,0,0,2,43,,2014,2014
PE14020,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,,Preliminary Evaluation,-.5574,.8591,118,0,5,70,,2014,2016
PE14021,8,0,0,,0,,,10,0,0,,0,,,18,0,0,,0,,,502410,Preliminary Evaluation,-.296,-.9877,12064,14,145,38521,,2014,2014
PE14022,61,0,0,,0,,,85,0,0,,0,,,146,0,0,,0,,,129787,Preliminary Evaluation,-.6249,-.989,2201,0,72,12968,,2014,2014
PE14023,131,0,0,,0,,0,764,0,0,,0,,19847,884,0,0,,0,,0,394262,Preliminary Evaluation,-.5106000000000001,-.7742,175,3,86,2263,,2014,2014
PE14024,0,0,0,,0,,0,27,0,0,,0,,17,27,0,0,,0,,17,2156,Preliminary Evaluation,-.5719,-.9741,0,0,1,1,,2014,2015
PE14025,103,2,0,,0,,1,0,0,0,,0,,0,103,2,0,,0,,1,5165,Preliminary Evaluation,-.34,-.6855,1,1,1,9,,2014,2015
PE14026,1,0,0,,0,,0,0,0,0,,0,,11,1,0,0,,0,,11,15824,Preliminary Evaluation,-.7003,-.9911,0,0,0,0,,2014,2014
PE14027,11,0,0,,0,,,18,0,0,,0,,,18,0,0,,0,,,13776,Preliminary Evaluation,-.4588,-.9933999999999999,1220,0,56,8335,,2014,2015
PE14028,207,0,2,2,0,,0,451,0,0,0,0,,1079,629,0,0,0,0,,1079,202475,Preliminary Evaluation,,-.9805,3980,0,40,5938,,2014,2015
PE14029,1,1,1,2,0,,0,0,1,1,2,0,,250,1,1,1,2,0,,250,19340,Preliminary Evaluation,-.3182,-.9974,0,0,0,0,,2014,2015
PE14030,1127,8,0,0,0,,0,1687,32,4,4,0,,9967,2584,40,4,4,0,,9967,848600,Preliminary Evaluation,-.34,-.9956,8985,6,199,30063,,2014,2015
PE14031,8,3,0,,0,,2,9,0,0,,0,,0,16,3,0,,0,,2,32240,Preliminary Evaluation,-.5423,-.9891,0,0,0,0,,2014,2015
PE14032,10,1,0,,0,,1,70,1,0,,0,,0,80,1,0,,0,,1,20120,Preliminary Evaluation,-.2023,-.9442,0,0,1,5,,2014,2015
PE14033,20,0,0,,0,,0,235,2,0,,0,,71,247,2,0,,0,,71,373949,Preliminary Evaluation,-.34,-.9948,54,1,57,9514,,2014,2015
PE14034,2,0,0,,0,,0,4,1,0,,0,,16,5,1,0,,0,,16,17448,Preliminary Evaluation,-.5574,-.891,145,0,3,61,,2014,2015
PE14035,0,0,0,,0,,1,18,0,0,,0,,,18,0,0,,0,,,18,Preliminary Evaluation,.1531,-.8796,0,0,0,0,,2014,2015
PE15001,3,0,0,1,0,,,3,0,0,0,0,,,5,0,0,1,0,,,195218,Preliminary Evaluation,-.5574,-.9988,85,2,10,207,,2015,2016
PE15002,0,0,0,,0,,3,5,0,0,,0,,216,5,0,0,,0,,216,4030908,Preliminary Evaluation,-.5423,-.9829,0,0,0,0,,2015,2015
PE15003,1,1,0,,0,,3,5,5,0,,0,,5,5,5,0,,0,,5,216858,Preliminary Evaluation,-.7964,-.9883999999999999,311,0,3,1303,,2015,2015
PE15004,4,0,0,,0,,,0,0,0,,0,,,0,0,0,,0,,,480,Preliminary Evaluation,-.802,-.5266999999999999,0,0,0,0,,2015,2015
PE15005,11,0,0,,0,,,1,0,0,,0,,,11,0,0,,0,,,15,Preliminary Evaluation,-.6908,-.8968,0,0,0,0,,2015,2016
PE15006,0,1,1,1,0,,1,1,1,1,1,0,,0,1,1,1,1,0,,1,,Preliminary Evaluation,.0258,-.9974,0,0,0,0,,2015,2016
PE15007,4,0,1,1,0,,0,42,0,4,4,0,,505,43,0,5,5,0,,505,47340,Preliminary Evaluation,-.8658,-.9155,0,0,0,0,,2015,2015
PE15008,1,3,0,,0,,0,0,5,0,,0,,307,1,5,0,,0,,307,7588,Preliminary Evaluation,-.5106000000000001,-.9877,0,2,0,1,,2015,2015
PE15009,0,0,0,0,0,,0,1,1,0,2,0,,35,1,1,0,2,0,,35,7100,Preliminary Evaluation,-.6249,-.6124000000000001,0,0,0,0,,2015,2015
PE15010,29,0,0,,0,,,719,0,0,,0,,,741,0,0,,0,,,415825,Preliminary Evaluation,-.5106000000000001,-.9798,102,4,31,543,,2015,2015
PE15011,1,0,1,1,0,,0,62,1,1,1,0,,317,62,1,1,1,0,,317,5573,Preliminary Evaluation,0,-.1993,0,0,0,0,,2015,2016
PE15012,29,0,0,,0,,0,514,0,0,,0,,2561,543,0,0,,0,,2561,32400,Preliminary Evaluation,0,-.9062,33,0,13,298,,2015,2015
PE15013,0,0,0,,0,,0,26,0,0,,0,,1233,26,0,0,,0,,1233,162000,Preliminary Evaluation,.2732,-.9903999999999999,0,0,0,0,,2015,2015
PE15014,36,0,0,,0,,1,56,0,0,,0,,0,92,0,0,,0,,1,22899,Preliminary Evaluation,-.296,-.9559,2,0,6,23,,2015,2015
PE15015,51,6,2,2,0,,,0,0,0,0,0,,,51,6,2,2,0,,,10580,Preliminary Evaluation,-.296,-.9595,0,0,0,0,,2015,2015
PE15016,1,1,0,,0,,1,1,1,0,,0,,0,1,1,0,,0,,1,4003,Preliminary Evaluation,-.5106000000000001,-.9475,0,0,0,0,,2015,2015
PE15017,5,0,0,,0,,0,7,0,0,,0,,11,7,0,0,,0,,11,20275,Preliminary Evaluation,-.5994,-.9929,346,0,30,3645,,2015,2015
PE15018,1,0,0,,0,,,0,0,0,,0,,,0,0,0,,0,,,537,Preliminary Evaluation,-.3818,-.9747,0,0,0,0,,2015,2015
PE15019,142,1,0,,0,,,367,0,0,,0,,,468,1,0,,0,,,218019,Preliminary Evaluation,-.4939,-.9661,655,2,41,545,,2015,2015
PE15020,1,0,0,,0,,,1,0,0,,0,,,1,0,0,,0,,,6937,Preliminary Evaluation,0,-.9889,527,0,14,2026,,2015,2016
PE15021,22,0,0,,0,,,163,0,0,,0,,,176,0,0,,0,,,95178,Preliminary Evaluation,-.9001,-.1714,2184,3,72,31039,,2015,2016
PE15022,34,1,0,,0,,,31,0,0,,0,,,62,1,0,,0,,,193484,Preliminary Evaluation,-.5423,-.9829,337,0,22,207,,2015,2015
PE15023,0,0,0,,0,,1,0,0,0,,0,,1,0,0,0,,0,,1,6800,Preliminary Evaluation,-.2584,-.9941,0,0,0,0,,2015,2015
PE15024,52,0,0,,0,,0,244,3,0,,0,,1105,285,3,0,,0,,1105,97197,Preliminary Evaluation,-.4404,-.9855,1694,3,113,32430,,2015,2015
PE15025,499,0,0,0,0,,0,1703,6,1,4,0,,16955,2202,6,1,4,0,,16955,628167,Preliminary Evaluation,,.765,13070,3,145,36497,,2015,2015
PE15026,53,2,1,,0,,0,396,7,0,,0,,6476,432,7,1,,0,,6476,252910,Preliminary Evaluation,-.8316,-.9913999999999999,3135,3,100,16580,,2015,2015
PE15027,1,0,2,2,0,,1,2,0,2,2,0,,0,2,0,2,2,0,,1,490000,Preliminary Evaluation,0,-.9723000000000001,0,0,0,0,,2015,2016
PE15028,636,4,0,0,0,,0,4173,11,1,1,0,,49843,4660,15,1,1,0,,49843,517945,Preliminary Evaluation,-.6808,-.9869,10026,14,176,56262,,2015,2016
PE15029,32,1,1,1,0,,,326,1,0,0,0,,,352,2,0,0,0,,,341444,Preliminary Evaluation,-.3818,-.9102,556,4,385,97559,,2015,2016
PE15030,61,35,13,13,0,,0,267,95,22,22,0,,325,306,117,26,26,0,,325,535681,Preliminary Evaluation,-.2732,-.9874000000000001,2759,3,108,47646,,2015,2016
PE15031,48,0,0,,0,,0,115,0,0,,0,,1860,163,0,0,,0,,1860,186132,Preliminary Evaluation,0,-.9968,199,1,77,1583,,2015,2016
PE15032,0,0,0,,0,,0,0,0,0,,0,,599,0,0,0,,0,,599,84988,Preliminary Evaluation,-.8555,-.9764,3,2,2,5,,2015,2016
PE15033,31,0,0,,0,,31,0,0,0,,0,,0,31,0,0,,0,,31,15330,Preliminary Evaluation,-.9081,.8962,0,0,0,0,,2015,2016
PE15034,1,0,0,,0,,,1,0,0,,0,,,1,0,0,,0,,,2338,Preliminary Evaluation,-.8074,-.9792,0,0,0,0,,2015,2016
PE15035,2,3,0,,0,,2,1,3,0,,0,,0,2,3,0,,0,,2,58,Preliminary Evaluation,-.8074,-.9974,0,0,0,0,,2015,2016
