InvestigationID,FirstComplaintToInvOpening,InvOpeningToClosing,NoNHTSACampaignNumbers,InvClosingToRecall,RecallToOwnerNotification,RecallSize,RecallScope,NoManufacturers,NoPDUptoQuarterOfRcl,NoDIUptoQuarterOfRcl,NoIIUptoQuarterOfRcl,NoIDUptoQuarterOfRcl,MfrAwarenessToRecall
PE12017,316,723,1,-14,55,179027,3,1,2705,0,100,15206,1093
EQ14008,,70,3,-122,45,49,3,1,0,0,0,0,
EQ12003,,526,39,293,55,5,4,1,0,0,0,0,
RQ13002,,404,2,-33,49,31520,4,1,6008,3,266,119420,
EQ14006,,112,22,-107,58,19,10,1,5005,7,35,3926,
RQ13004,,202,1,-14,48,35000,3,1,13,0,6,72,
EQ14006,,112,22,-98,33,10,6,1,1938,0,15,1460,
EQ14006,,112,22,-99,153,10,18,1,6079,8,44,4496,
EQ14006,,112,22,-98,45,21,18,1,6811,8,43,4494,
EQ14004,,125,8,-69,34,11,1,1,0,0,0,0,
EA12007,220,1176,1,-533,50,325,5,1,4,0,0,0,
EQ14006,,112,22,-93,2,42,6,1,529,5,9,47,
PE14016,286,264,17,,,,,,,,,,
EQ14006,,112,22,,,,,,,,,,
PE14016,286,264,17,,,,,,,,,,
PE14016,286,264,17,,,,,,,,,,
EQ14006,,112,22,-92,,11,12,1,0,0,0,0,
EQ14006,,112,22,-88,36,10,15,1,6620,8,42,4492,
EQ14006,,112,22,-85,81,74,40,1,0,0,0,0,
RQ14002,1567,259,1,-249,334,722705,8,1,6691,12,275,56256,1393
EQ14006,,112,22,-85,36,20,15,1,0,0,0,0,
EQ14006,,112,22,-84,70,7,15,1,0,0,0,0,
EQ14006,,112,22,-101,10,16,18,2,4974,8,36,3937,
EQ14006,,112,22,-101,55,4,15,1,6388,8,42,4492,
EQ14006,,112,22,-84,-1,3,15,1,0,0,0,0,
EA14001,217,214,1,-41,54,653562,8,1,2730,0,63,12350,1198
EQ14006,,112,22,-73,62,2,2,1,12,0,0,0,
EQ14004,,125,8,-46,-1,4,1,1,0,0,0,0,
EQ14007,,59,3,,,,,,,,,,
EQ14007,,59,3,-38,105,1,1,1,0,0,0,0,
EQ14005,,122,3,-38,133,50,7,1,0,0,0,0,
EQ14006,,112,22,-57,96,6,4,1,2568,6,13,1470,
EQ14004,,125,8,-31,395,10,4,1,0,0,0,0,
EQ14004,,125,8,-54,75,1,1,1,0,0,0,0,
EQ14009,,116,1,,,,,,,,,,
PE13039,,276,1,-43,70,2098,13,1,0,0,0,0,
EQ14007,,59,3,,,,,,,,,,
EQ14005,,122,3,-25,-2,5,1,1,0,0,0,0,
EQ14013,,97,17,,,,,,,,,,
EQ14013,,97,17,,,,,,,,,,
EQ14006,,112,22,-45,38,3,2,1,0,0,0,0,
EQ14006,,112,22,-42,-59,3,2,1,0,0,0,0,
EQ14006,,112,22,-42,88,49,15,1,0,0,0,0,
EQ14006,,112,22,-39,34,88,15,1,0,0,0,0,
EQ14006,,112,22,-37,91,3,15,1,0,1,4,19,
EQ14002,,221,12,-10,61,51,28,1,0,0,0,0,
EQ14006,,112,22,-32,59,76,18,1,0,0,0,0,
EQ14010,,113,4,-103,39,84,1,1,0,0,0,0,
PE14010,21,220,1,-73,49,205309,5,1,2734,1,49,82612,
EQ14010,,113,4,-98,9,311,2,1,0,0,0,0,
EQ14013,,97,17,-153,66,828,45,1,0,0,0,0,
PE14022,42,107,1,-29,142,435081,19,1,9997,8,307,62458,54
PE14016,286,264,17,,,,,,,,,,
PE14009,,217,1,-8,15,135,25,1,0,1,0,1,
EQ14012,,125,3,-109,38,44,10,1,0,0,0,0,
EQ14008,,70,3,39,0,206,2,1,0,0,0,0,
EQ14013,,97,17,-115,87,68,14,1,0,0,0,0,
EQ14013,,97,17,-115,87,4784,34,1,0,0,0,0,
EQ14012,,125,3,-106,11,5,7,1,0,0,0,0,
PE14016,286,264,17,-118,83,0,28,1,1474,55,1424,126214,138
PE14016,286,264,17,,,,,,,,,,
EQ14010,,113,4,-41,96,4,1,1,0,0,0,0,
EQ14013,,97,17,-113,69,34,43,4,27499,28,157,30779,
RQ14003,,139,1,-43,-19,181,60,1,0,0,0,0,
EQ14010,,113,4,-34,48,1,1,1,0,0,0,0,
EQ14013,,97,17,-105,53,26,6,1,0,0,0,0,
EQ14013,,97,17,-105,57,46,6,1,0,0,0,0,
PE14024,,174,1,-55,101,3564,3,1,0,0,0,0,
PE14031,720,144,1,-101,59,115,8,1,0,0,0,0,
EQ14013,,97,17,-99,9,1229,108,1,0,0,0,0,
PE14016,286,264,17,,,,,,,,,,
PE14016,286,264,17,-91,45,4175,9,1,218,5,92,1446,151
EQ14013,,97,17,-86,379,5,7,1,0,0,0,0,
EQ14013,,97,17,-86,8,9,8,1,0,0,0,0,
PE14016,286,264,17,-89,62,250896,12,1,14815,29,339,89442,166
PE14016,286,264,17,,,,,,,,,,
PE14016,286,264,17,,,,,,,,,,
EQ14012,,125,3,-71,15,185,4,1,0,1,0,1,
EQ14013,,97,17,-80,10,250,9,1,0,0,0,0,
PE14016,286,264,17,-80,49,410,2,1,0,0,0,0,176
PE14013,,218,1,-7,101,54164,9,2,0,0,1,17,225
PE14019,436,182,1,-7,192,257065,1,1,0,0,2,43,175
EQ14013,,97,17,-71,51,14,4,1,0,0,0,0,
EQ14014,,88,1,-62,-83,12,1,1,0,0,0,0,
PE14016,286,264,17,,,,,,,,,,
PE14016,286,264,17,,,,,,,,,,
EQ14013,,97,17,-59,-62,7,9,1,0,0,0,0,
EQ14015,,71,2,-58,16,17,4,1,0,0,0,0,
EQ14013,,97,17,-8,26,4,1,1,0,0,0,0,
PE15004,151,113,1,-84,30,480,1,1,0,0,0,0,
PE15023,,115,4,-49,80,6800,1,1,0,0,0,0,
RQ15002,,212,16,-56,35,38000,6,1,0,0,0,0,
PE15007,249,234,10,-25,134,47340,1,1,0,0,0,0,
EQ15001,,227,1,-102,31,90000,1,1,0,0,0,0,
EQ14013,,97,17,-37,36,9,5,1,0,0,0,0,
EQ14015,,71,2,-35,11,4,4,1,58,0,6,16,
RQ14001,-67,533,4,-289,208,1006849,8,2,23013,16,376,114948,
RQ14001,-67,533,4,-289,390,374177,3,1,184,4,106,7687,497
RQ14001,-67,533,4,-289,335,752644,7,1,9778,26,434,148451,
EA11014,3013,929,2,295,20,69633,6,1,27925,53,810,796543,
EQ14013,,97,17,-20,60,8,4,1,0,0,0,0,
PE14025,1071,291,1,-92,96,5165,1,1,0,1,0,5,
PE14035,,182,1,-81,42,18,1,1,0,0,0,0,
PE14016,286,264,17,,,,,,,,,,
RQ14005,665,427,1,-356,28,6322,15,1,6083,6,40,4320,52
PE14016,286,264,17,46,60,12606,10,1,68,0,1,26,
EA15002,951,259,2,-203,238,456440,8,1,6979,1,157,23610,283
PE14030,1581,343,1,-100,49,393623,17,1,11861,4,210,32470,1462
EQ13006,,204,76,466,57,426,4,1,0,0,0,0,
PE15018,377,81,2,-22,10,537,2,1,0,0,0,0,
PE15012,1016,96,1,-14,51,30348,1,1,33,0,13,298,1128
PE15022,615,72,1,-31,56,193484,8,1,337,0,22,207,1161
PE15015,,120,1,-20,23,10594,2,1,0,0,0,0,
EQ14002,,221,12,339,63,13,6,1,0,0,0,0,
PE15010,1435,188,1,-55,164,415825,29,1,86,4,30,515,1328
PE15018,377,81,2,20,7,405,5,1,0,0,0,0,
PE15009,,170,1,-29,56,7104,11,1,0,0,0,0,
EA15003,777,153,1,-20,33,298747,6,1,30,1,13,205,454
RQ15004,-77,165,1,-146,49,7810,1,1,0,0,0,0,574
RQ15002,,212,16,-42,59,52,40,1,0,0,0,0,
RQ15002,,212,16,-42,59,4334,60,1,0,0,1,12,
PE15019,2480,142,1,-18,141,218019,6,1,655,2,41,545,122
PE15008,50,266,1,-50,70,910,12,1,0,0,0,0,
PE15023,,115,4,7,59,290,5,1,18,0,0,0,
PE15023,,115,4,11,36,669,9,1,0,0,0,0,
PE15023,,115,4,11,36,448,8,1,0,0,0,0,
EA11005,2451,1707,1,-82,141,86018,8,1,0,0,4,34,1625
RQ14001,-67,533,4,-25,199,284611,2,1,4393,9,215,68433,35
PE15003,0,330,1,-51,35,75592,1,1,438,0,4,1774,279
EA15004,501,610,3,-560,41,919,12,1,970,6,80,1426,584
PE15033,1232,263,1,-238,31,503,11,2,0,0,2,2,
RQ15002,,212,16,18,44,49,12,1,0,0,0,0,
PE15007,249,234,10,22,57,12656,108,1,0,0,5,5,
EA11008,,501,2,1102,50,186,15,1,0,0,1,2,
RQ15002,,212,16,33,28,813,45,1,0,0,0,0,
RQ15002,,212,16,33,28,1001,72,1,0,0,0,0,
RQ15002,,212,16,33,28,43,18,1,0,0,0,0,
RQ15002,,212,16,33,28,5675,9,1,0,0,0,0,
RQ15002,,212,16,33,23,223,27,1,0,0,0,0,
RQ15002,,212,16,34,24,25,27,1,0,0,0,0,
RQ15002,,212,16,34,29,271,10,2,0,0,0,0,
RQ15002,,212,16,34,29,2029,45,1,0,0,0,0,
PE15013,,231,1,-14,60,15730,10,1,0,0,0,0,
RQ15002,,212,16,35,46,278,18,1,15451,24,124,19119,
PE15007,249,234,10,37,99,9687,68,3,0,0,0,0,
PE15028,3479,151,1,-17,479,296004,6,1,9768,14,168,54014,2582
PE15011,26,277,1,-17,52,1253,12,1,9,0,1,3,
RQ15002,,212,16,67,59,4784,34,2,0,0,0,0,
RQ15002,,212,16,68,58,68,18,2,0,0,0,0,
PE15007,249,234,10,65,51,2123,48,4,0,0,0,0,
RQ15003,212,432,1,-191,213,389252,6,1,3376,0,61,17244,545
PE15007,249,234,10,70,44,14889,28,1,0,0,0,0,
EQ15006,,479,5,-434,8,8,1,1,0,0,0,0,
EQ16001,,235,3,-170,-226,582,1,1,0,0,0,0,
EQ16001,,235,3,-169,-241,49,1,1,0,0,0,0,
EQ16001,,235,3,-102,-287,300,1,1,0,0,0,0,
RQ15002,,212,16,80,9,9,8,1,0,0,0,0,
PE15007,249,234,10,78,46,23,1,1,0,0,0,0,
PE15007,249,234,10,84,50,662,31,1,0,0,0,0,
PE15007,249,234,10,86,35,3712,35,1,0,0,0,0,
EQ15006,,479,5,-436,-4,5,2,1,0,0,0,0,
EQ15006,,479,5,-434,8,96,2,1,0,0,0,0,
PE15007,249,234,10,99,28,190,15,1,0,0,0,0,
PE15029,1327,304,2,-136,287,341444,3,1,395,3,238,46590,270
PE16002,575,81,1,-75,419,1015,2,1,0,0,0,0,
PE15007,249,234,10,137,59,217,4,1,0,0,0,0,
PE15005,176,393,1,-11,-685,12,1,1,0,0,0,0,
DP15008,204,207,1,-75,56,1736,2,1,0,0,0,0,
EA16002,883,142,2,-60,60,811290,8,1,8440,15,334,106298,249
EA15004,501,610,3,-371,48,645898,4,1,218,0,27,939,270
EA15004,501,610,3,-371,45,3296947,51,2,1463,9,131,3180,773
EA15007,,215,2,-56,92,7196,6,1,0,0,0,0,1603
EA15007,,215,2,-56,217,388532,4,1,0,0,0,0,1603
PE16003,537,148,1,-63,157,225012,2,1,2142,2,70,9933,144
EQ16002,,203,2,-131,50,117,6,1,0,0,0,0,
EQ15006,,479,5,-301,34,7,2,1,0,0,0,0,
EA16002,883,142,2,-14,189,12631,2,1,2,0,1,1,126
EQ15006,,479,5,-276,9,2,1,1,0,0,0,0,
PE16004,1286,143,2,-52,37,10351,26,1,0,0,0,0,
PE15029,1327,304,2,55,244,41918,2,1,64,1,14,205,196
PE16004,1286,143,2,-8,17,28,1,1,0,0,0,0,
PE16001,527,287,1,-53,143,2046297,15,1,13386,9,726,114522,327
EQ17002,,711,1,-683,-86,16428,1,1,0,0,0,0,
EQ16003,,298,1,-138,54,126,2,1,0,0,0,0,
DP16001,,343,1,-88,396,91007,9,1,13008,8,270,399815,273
PE16013,450,173,1,-14,267,54751,1,1,0,4,9,272,159
PE16018,115,300,2,-229,36,977778,9,1,1983,15,204,9185,174
EQ16002,,203,2,345,-7,1,1,1,0,0,0,0,
PE16018,115,300,2,-19,33,443545,9,1,2380,18,236,10434,218
PE17003,1072,207,1,-76,55,363930,6,1,6408,17,644,243677,1561
RQ17006,,252,1,-131,32,171,2,1,0,0,0,0,
PE18003,889,532,3,-436,0,727921,1,1,0,0,0,0,
DP17003,213,90,1,-49,55,153859,1,1,1183,2,50,20087,80
PE16009,1490,656,1,-84,16,174636,63,1,0,0,0,0,
PE18003,889,532,3,-549,230,580058,5,1,1850,15,200,8781,2204
PE17007,,182,1,-42,49,1301986,10,1,7403,2,153,21127,140
PE17006,,191,1,-5,47,1528,23,1,0,4,39,1,
EA17003,957,354,1,-116,94,42781,2,1,80,5,17,977,224
PE16016,698,339,1,158,94,42781,2,1,80,5,17,977,224
RQ17007,,316,1,-79,58,1123,25,1,0,2,15,3,
RQ18001,1880,227,1,-192,292,33214,5,1,0,0,0,0,2004
PE18003,889,532,3,-455,119,507587,15,1,756,10,104,1740,1539
PE17005,141,553,1,-222,13,10658,3,1,0,0,0,0,
PE18008,357,136,1,-108,28,1619112,4,1,3924,3,213,29099,517
PE18006,1127,165,1,-49,185,50176,2,1,183,1,33,786,1092
PE18002,450,462,1,-201,57,12383,2,1,0,0,0,0,
DP18003,2967,262,4,-142,29,71653,21,1,1511,17,185,2891,628
DP18003,2967,262,4,-133,63,150730,6,1,3119,22,296,13758,135
PE18016,727,360,1,-321,56,795575,11,1,0,0,0,0,
PE18009,70,230,1,-96,57,994,90,1,0,3,7,4,
RQ17010,2231,666,1,-253,21,1263051,3,1,7261,8,186,27818,
DP18003,2967,262,4,-77,54,378967,5,1,620,10,68,1173,
DP18003,2967,262,4,-57,61,16487,1,1,423,1,16,672,
EA18004,1329,472,2,-147,197,28671,2,1,0,0,0,0,
EA18004,1329,472,2,-146,55,65385,7,1,0,1,0,5,
PE18010,,329,1,-36,70,3868,8,1,0,0,0,0,
PE18015,,268,2,-82,94,1035,3,1,0,0,0,0,
PE18015,,268,2,-82,94,9,1,1,0,0,0,0,
PE19008,131,136,1,-77,182,11463,8,1,0,0,0,0,
PE19009,,169,1,-111,131,366282,4,1,2357,10,317,22741,
RQ19002,423,216,1,-34,60,2108,6,1,0,0,0,0,
PE18011,522,426,1,-8,49,231664,9,1,9617,1,89,10140,
EA18002,2853,1003,1,-394,470,600166,20,1,21405,17,384,64614,
EA15002,951,259,2,1571,0,5641577,1,1,0,0,0,0,
PE14028,384,188,1,1811,0,5641577,1,1,0,0,0,0,
PE19016,188,114,1,-57,48,6,5,1,0,0,0,0,
RQ19004,1772,496,1,-266,137,2907,1,1,47,1,2,4,
RQ16001,438,1376,1,-27,142,292311,4,1,7411,7,275,38001,
PE20002,48,173,1,-39,207,9392,8,1,0,0,0,0,
PE20001,4922,192,1,-21,60,1561,4,1,1,0,0,0,
PE20004,,206,1,-30,180,2100,2,1,0,0,0,0,
PE20007,1093,176,1,-22,225,21834,2,1,196,0,0,0,
PE20013,,158,1,-29,49,2690,3,1,0,0,0,0,
PE20017,,209,1,-52,53,1238,1,1,0,0,0,0,
PE20014,859,190,1,-55,198,48667,14,1,0,0,0,0,
RQ19001,,750,1,-64,134,60681,2,1,3950,2,52,33498,
